lake_id,month_start,month_end,ndwi,ndvi,ndti,pollution_score,pixel_count,scene_count,anomaly_flag,mom_change_pct,restoration_verdict,restoration_confidence
varthur,2025-06-01,2025-07-01,0.0754107208712734,-0.03536612229277295,-0.08898530413190221,46.46,13452,1,False,-4.68,,
varthur,2025-07-01,2025-08-01,0.0,0.0,0.0,50.0,0,0,False,7.62,,
varthur,2025-08-01,2025-09-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
varthur,2025-09-01,2025-10-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
varthur,2025-10-01,2025-11-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
varthur,2025-11-01,2025-12-01,0.3057870163964509,-0.1470502514989814,-0.3289172286579889,36.23,9229,1,False,-27.54,,
varthur,2025-12-01,2026-01-01,0.47840711072627473,-0.3174643919198111,-0.3998137699302355,29.66,9849,3,False,-18.13,,
varthur,2026-01-01,2026-02-01,0.4317127114313209,-0.1569056721834078,-0.3299366820666899,33.88,9912,4,False,14.23,,
varthur,2026-02-01,2026-03-01,0.5045831611486689,-0.25889871170615236,-0.38626986743696484,30.21,9761,4,False,-10.83,,
varthur,2026-03-01,2026-04-01,0.4629339388656682,-0.25641696480470705,-0.39555539159197567,30.78,9033,7,False,1.89,,
varthur,2026-04-01,2026-05-01,0.24278182676323276,-0.06235718836995137,-0.052041576693169986,43.93,6889,6,True,42.72,,
varthur,2026-05-01,2026-06-01,0.2564161408124618,-0.11761321192370604,-0.214899905342473,39.74,5708,1,False,-9.54,,
varthur,2026-06-01,2026-06-20,0.0,0.0,0.0,50.0,0,0,True,25.82,,
hebbal,2024-01-01,2024-02-01,0.26463530773311245,-0.07778918677979868,-0.32564999324548793,37.88,3560,2,False,,,
hebbal,2024-02-01,2024-03-01,0.39627592448141213,-0.12520655663698074,-0.13352924563890115,38.83,3614,5,False,2.51,,
hebbal,2024-03-01,2024-04-01,0.3186428049589802,-0.14393408438795047,-0.30352324785344686,36.55,3651,6,False,-5.87,,
hebbal,2024-04-01,2024-05-01,0.40669526246796384,-0.17627844663580186,-0.2511431857586496,35.66,3587,4,False,-2.44,,
hebbal,2024-05-01,2024-06-01,0.19597180530184438,-0.011253176587001949,-0.07027596026244451,45.02,3548,1,True,26.25,,
hebbal,2024-06-01,2024-07-01,0.05753411425191541,-0.0025330864641116527,0.01907581709299359,49.34,2275,1,False,9.6,,
hebbal,2024-07-01,2024-08-01,0.0,0.0,0.0,50.0,0,0,False,1.34,,
hebbal,2024-08-01,2024-09-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
hebbal,2024-09-01,2024-10-01,0.25069810217508887,-0.023707386579172946,-0.15781009643272514,42.16,3525,1,False,-15.68,,
hebbal,2024-10-01,2024-11-01,0.0,0.0,0.0,50.0,0,0,False,18.6,,
hebbal,2024-11-01,2024-12-01,0.13964720101022773,0.03953647368571358,-0.3068336339089398,41.91,3292,1,False,-16.18,,
hebbal,2024-12-01,2025-01-01,0.2459694296346547,0.0057485810881357895,-0.39387631570558007,37.89,3530,1,False,-9.59,,
hebbal,2025-01-01,2025-02-01,0.30190612591883675,-0.07369789411787543,-0.2918376347284592,37.96,3588,4,False,0.18,,
hebbal,2025-02-01,2025-03-01,0.40459949816969043,-0.0946687806548127,-0.2779200844383836,36.18,3676,5,False,-4.69,,
hebbal,2025-03-01,2025-04-01,0.35524814756201645,-0.10849828632352296,-0.31778711035455054,36.07,3664,5,False,-0.3,,
hebbal,2025-04-01,2025-05-01,0.3103942511184038,-0.055754869609590786,-0.021940743013058945,43.43,3561,6,True,20.4,,
hebbal,2025-05-01,2025-06-01,0.1696042266152593,0.023154880528731242,-0.016287553078960543,47.0,3429,2,False,8.22,,
hebbal,2025-06-01,2025-07-01,0.11626995640382976,0.021346558474053937,0.2667331898403367,53.57,2142,1,False,13.98,,
hebbal,2025-07-01,2025-08-01,0.0,0.0,0.0,50.0,0,0,False,-6.66,,
hebbal,2025-08-01,2025-09-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
hebbal,2025-09-01,2025-10-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
hebbal,2025-10-01,2025-11-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
hebbal,2025-11-01,2025-12-01,0.0613843866277368,0.05000914704509524,-0.271458233699315,44.12,2897,1,False,-11.76,,
hebbal,2025-12-01,2026-01-01,0.14521328470159614,0.13618246895394012,-0.15011656812427668,46.16,3057,3,False,4.62,,
hebbal,2026-01-01,2026-02-01,0.12086261399751327,0.11214588527282415,-0.1962307133784154,45.36,3135,4,False,-1.73,,
hebbal,2026-02-01,2026-03-01,0.06896565607648693,0.18364477834276832,-0.40333337176754086,43.02,2635,4,False,-5.16,,
hebbal,2026-03-01,2026-04-01,0.020117282804491907,0.3207317356386343,-0.3592476226243334,46.47,71,7,False,8.02,,
hebbal,2026-04-01,2026-05-01,0.0,0.0,0.0,50.0,0,6,False,7.6,,
hebbal,2026-05-01,2026-06-01,0.014699645077483718,0.02664414074093773,-0.03182980300211392,49.44,13,1,False,-1.12,,
hebbal,2026-06-01,2026-06-20,0.0,0.0,0.0,50.0,0,0,False,1.13,,
ulsoor,2024-01-01,2024-02-01,0.25474899622320785,0.08302646835651746,-0.4517550601620416,37.54,3334,2,False,,,
ulsoor,2024-02-01,2024-03-01,0.15916347736491496,0.15429143065347906,-0.3814047975342263,41.52,3214,5,False,10.6,,
ulsoor,2024-03-01,2024-04-01,0.2251694228659166,0.08516738177930142,-0.4874490063760183,37.38,3282,6,False,-9.97,,
ulsoor,2024-04-01,2024-05-01,0.3990196053047223,-0.12505815290389832,-0.5172768566965982,31.11,3302,4,False,-16.77,,
ulsoor,2024-05-01,2024-06-01,0.34037760236098485,-0.11580065839793613,-0.2675480876810173,37.24,3313,1,False,19.7,,
ulsoor,2024-06-01,2024-07-01,0.11076361562529093,0.11534000855665588,-0.12725378074463126,46.96,2923,1,True,26.1,,
ulsoor,2024-07-01,2024-08-01,0.0,0.0,0.0,50.0,0,0,False,6.47,,
ulsoor,2024-08-01,2024-09-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
ulsoor,2024-09-01,2024-10-01,0.07498350546399077,0.2269287027166287,-0.32634456976622717,45.0,2758,1,False,-10.0,,
ulsoor,2024-10-01,2024-11-01,0.0,0.0,0.0,50.0,0,0,False,11.11,,
ulsoor,2024-11-01,2024-12-01,0.17079853449349952,0.0994969517368196,-0.4798064065897741,38.66,3124,1,False,-22.68,,
ulsoor,2024-12-01,2025-01-01,0.11131486452168118,0.2577338926947406,-0.5576213744940682,40.12,3098,1,False,3.78,,
ulsoor,2025-01-01,2025-02-01,0.2099456473979265,0.14960568943438515,-0.4937545607770524,38.32,3261,4,False,-4.49,,
